Gid	Protein content	Amylose content	Flag leaf length	Flag leaf width	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Straighthead suseptability 
NSFTV_23	8.85	22.665	36.38888889	1.166666667	2.899588413	112.4444444	21.4	9.166666667	4.652901589	4.958171725	0.737	8.624533333	3.2538	2.383422101	3.842383675	8.168333334
NSFTV_24	8.4	21.41	35.90833333	1.533333333	2.899588413	132.8333333	23	8.833333333	4.856989537	5.063170242	0.814	9.6739	3.268941667	2.544889889	3.991602529	7.583333334
NSFTV_25	8	20.43666667	35.75	1.3	3.139438994	132.125	21.46666667	9	5.04065631	5.156589207	0.891	8.751936364	3.102945455	2.333187481	3.832489713	8.33
NSFTV_26	8.1	17.39	38.61666667	1.65	2.651960734	136.9166667	25.80833333	10.91666667	5.078293943	5.233778845	0.856	9.636363636	3.230136364	2.512445172	3.971712174	8.166666667
NSFTV_27	8.85	11.10333333	34.06666667	1.566666667	2.614959778	96.33333333	23.725	11.58333333	4.899703733	5.093750201	0.824	10.1823	3.644508333	2.82685395	4.160500395	6.168333334
NSFTV_29	7.5	23.06333333	30.05	1.075	NA	121.8888889	24.8	8.333333333	4.672828834	4.700480366	0.973	7.8074	2.9248	2.056445822	3.627115746	9
NSFTV_31	6.8	19.73	29.85	0.833333333	3.044522438	118.3333333	22.41666667	10.33333333	5.0604831	5.130884422	0.932	7.130816667	3.33185	2.244175308	3.679483365	6.831666667
NSFTV_32	7.9	18.415	30.23333333	1.133333333	2.820055259	128.1111111	25	13	5.372703078	5.528546864	0.856	6.819333333	3.423422222	2.223927814	3.635488933	6.835
NSFTV_33	8.05	23.44	30.8	1.333333333	3.320228319	126.25	20.49166667	7.916666667	4.888676887	4.932072972	0.958	7.325583333	2.77925	1.919546617	3.533790696	7.5
NSFTV_34	10.4	21.04	39.36666667	0.95	3.135494216	117.5555556	23.11666667	10.83333333	4.16752618	4.982845297	0.442	7.4407	2.684366667	1.876141467	3.520911391	9
NSFTV_35	11.2	24.02666667	NA	NA	NA	105.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NSFTV_39	8.45	22.8	39.85	0.858333333	4.016383021	150.4166667	28.01111111	8.222222222	4.472273513	4.692366731	0.802	9.159608333	3.341125	2.50761491	3.937733636	9
NSFTV_40	8.7	0.21	33.09166667	1.6	2.970414466	114.75	27.73636364	8.818181818	4.944236458	5.192956851	0.78	8.222341667	3.756733333	2.641422388	3.951486317	6.168333334
NSFTV_41	9.4	21.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.33
NSFTV_43	8.35	24.985	24.34166667	1.283333333	3.739651779	98.66666667	25.9	10.09090909	5.0286538	5.182294145	0.858	7.577	3.179191667	2.254467453	3.72872277	8.166666667
NSFTV_44	7.55	24.23666667	37.61666667	1.716666667	3.54577861	136	28.64545455	10.36363636	5.329639838	5.377800477	0.953	8.412563636	2.638754545	1.988313853	3.643562762	6.668333334
NSFTV_45	9.05	19.205	25.81666667	0.891666667	3.358637767	141.1666667	28.85	7.9	4.548599834	4.676560182	0.88	9.447275	2.908825	2.295296932	3.856689983	7.666666667
NSFTV_46	8.5	22.195	39.78888889	1.366666667	3.125785402	127.25	21.91111111	9.444444444	4.703506087	4.903627332	0.819	9.8472	2.981063636	2.412906827	3.941010771	8.166666667
NSFTV_49	8.4	26.095	24.75833333	0.883333333	3.715602524	127.1666667	22.8	7.666666667	4.68981766	4.767855768	0.925	7.147358333	2.836383333	1.933480843	3.525823371	NA
NSFTV_50	8.65	24.38333333	26.69166667	1.066666667	3.392829132	130.5833333	20.82222222	7.666666667	4.637373326	4.673678091	0.964	7.652991667	3.625625	2.480197663	3.831593918	NA
NSFTV_51	8.6	18.78	27.95	1.08	3.234749174	123.1428571	23.975	10.88888889	4.932673753	5.137267945	0.815	7.36546	3.49469	2.383464374	3.766726445	5.833333334
NSFTV_53	8.75	20.975	31.92222222	0.866666667	3.314186005	152.5	30.8	8.875	4.766911035	4.919980926	0.858	9.8331	2.410925	1.971143846	3.71904689	8.331666667
NSFTV_55	11.9	17.21	27.21111111	0.877777778	3.414990704	101.3333333	25.55555556	5.555555556	4.021375542	4.259545078	0.788	8.93616	3.29885	2.505024587	3.933527713	6.085
NSFTV_56	8.1	13.22333333	21	1.15	3.388618599	77	NA	NA	4.760952188	4.816819358	0.946	7.1648625	3.32005	2.242322749	3.678680749	3.498333334
NSFTV_57	7.95	23.42333333	23.325	1.158333333	4.037186148	137.1666667	24.35454545	8.5	4.748089195	4.888296442	0.869	7.331733333	3.080108333	2.123587007	3.636286631	8.333333334
NSFTV_58	8.05	26.32	40.05833333	1.408333333	3.58120144	129.1666667	24.15555556	10.11111111	5.133180635	5.232296265	0.906	7.914516667	3.30515	2.341784973	3.781572576	8.168333334
NSFTV_59	9.1	18.245	22.83333333	1.7	2.463853241	136.5555556	21.77777778	11.22222222	5.010635294	5.166688924	0.856	7.270466667	3.395341667	2.257299157	3.680275883	6.835
NSFTV_60	8.9	18.275	34.475	1.45	2.983153491	128.9166667	27.12727273	10.33333333	5.110343502	5.43649703	0.722	7.839541667	3.308983333	2.332449674	3.768703676	5.5
NSFTV_61	7.55	25.355	33.06666667	0.95	4.016383021	142.4166667	26.16363636	8.166666667	4.593281614	4.78673388	0.824	7.9208	3.033925	2.199149575	3.717259973	7.498333334
NSFTV_63	8.25	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NSFTV_65	8	23.46333333	41.18333333	1.625	2.995732274	129.5833333	25.09166667	10	4.886582645	5.059425458	0.841	9.707925	3.234433333	2.540705923	3.994364914	7.333333334
NSFTV_66	NA	23.80666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67
NSFTV_67	8.5	24.395	33.78333333	0.895833333	3.355735008	123.9166667	22.96363636	11.81818182	5.356193116	5.502278098	0.864	7.438633333	3.46265	2.368166039	3.763471758	7.501666667
NSFTV_68	8.05	21.19	25.61111111	1.111111111	3.676300672	87.44444444	23.21666667	10.83333333	4.870947423	5.151362954	0.755	7.540263636	2.930827273	2.098705923	3.646729637	8
NSFTV_69	9.5	20.09	32.35	1.258333333	2.913256052	113.5833333	24.4	12.09090909	5.129898715	5.305563775	0.839	9.304475	2.845291667	2.253351956	3.825891605	7.501666667
NSFTV_70	8.1	18.38	27.41666667	1.566666667	3.016351561	128	23.22727273	9.545454545	4.759061092	4.972964894	0.807	8.639475	3.177483333	2.370272557	3.843931335	8.331666667
NSFTV_71	NA	23.97	36.88888889	1.011111111	3.80666249	99.16666667	28.05	10.66666667	4.906755164	5.272486607	0.694	7.996477778	2.844955556	2.091304234	3.653264654	7.165
NSFTV_72	8.5	23.13	28.66666667	1.411111111	3.557726184	90.66666667	25.15	11.33333333	5.261538115	5.375278408	0.892	8.41835	2.878175	2.207271163	3.761910135	8.5
NSFTV_73	8.7	14.22	35.35833333	1.441666667	2.983153491	102.9166667	23.40833333	11.66666667	4.793722293	5.010635294	0.805	9.897391667	3.152666667	2.525755311	3.999554372	7.498333334
NSFTV_74	8.1	24.77	35.35	1.291666667	3.58120144	104.0833333	30.39166667	10.58333333	5.230662885	5.340338642	0.896	9.523025	2.401016667	1.956320063	3.695144372	8.331666667
NSFTV_75	11.15	19.515	35.06666667	1.425	2.414289083	132.4166667	32.83333333	10.25	5.05677645	5.720584963	0.515	7.991241667	3.120033333	2.232016874	3.730130557	7.665
NSFTV_76	7.7	25.43	27.09166667	1.416666667	3.514029912	94.08333333	25.91818182	12.81818182	5.19648597	5.354869536	0.854	8.556491667	3.0905	2.352441355	3.839361269	7.833333334
NSFTV_77	9.15	24.36666667	34.18	1.25	3.335176281	144.8	24.44	12.5	5.210396485	5.398162702	0.829	7.366336364	3.238527273	2.203799882	3.676559097	9
NSFTV_78	7.7	26.345	32.53333333	1.341666667	3.48635519	133.75	25.12222222	9.666666667	5.056824677	5.127205473	0.932	9.180466667	2.737625	2.119554285	3.747997255	NA
NSFTV_79	7.3	10.58666667	27.9	1.108333333	3.075774981	91.16666667	24.71818182	12.09090909	5.039899849	5.150133697	0.896	8.558916667	3.266091667	2.41028487	3.854455331	4.666666667
NSFTV_80	NA	25.62	48.2	0.991666667	3.983413002	106	27.56666667	10	4.410776048	5.400422589	0.372	9.08107	2.72842	2.153739317	3.774177865	8.168333334
NSFTV_81	8.4	25.43	34.43333333	1.311111111	3.49144426	139.3333333	26.17777778	7.625	4.926045226	5.013409221	0.916	9.49555	2.652916667	2.137160967	3.78344864	7.331666667
NSFTV_83	8.1	11.60333333	23.99	0.89	3.280911216	106.6	19.62222222	10.66666667	4.870947423	5.0604831	0.827	6.93865	3.41136	2.256672036	3.668472644	5.498333334
NSFTV_84	9.3	20.385	33.55	1.666666667	2.319114395	132.5833333	30.96666667	9.916666667	5.231108617	5.606108392	0.687	7.857083333	3.367133333	2.334443837	3.763595114	6.668333334
NSFTV_85	7.55	26.59	31	1.166666667	3.860729711	143.1666667	28.45	9.5	5.04234927	5.108971195	0.936	7.378733333	2.55115	1.769736796	3.466206365	NA
NSFTV_86	8.3	0.245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67
NSFTV_87	8.9	0.366666667	37.5875	1.4125	2.618438042	116.125	24.94285714	10.5	5.041990396	5.283767586	0.785	8.61393	3.48906	2.577018539	3.94039003	6.998333334
NSFTV_88	8.4	24.6	33.2	1.491666667	3.098589659	137	26.31666667	9	5.357014999	5.51122691	0.857	7.249508333	2.966566667	2.01662598	3.574248087	8.835
NSFTV_89	7.9	22.22	36.05	1.558333333	2.442347035	114.6666667	24	11.16666667	5.520794029	5.672463791	0.859	6.794891667	3.184908333	2.115205767	3.592392415	8.331666667
NSFTV_92	8.75	17.53333333	35.23333333	1.7	2.538973871	123.4444444	23.83333333	11.11111111	5.034243308	5.175678812	0.868	7.972683333	3.696691667	2.561706284	3.893147988	8.833333334
NSFTV_93	9.15	17.14666667	28.44444444	1.122222222	3.659278984	150.4444444	29.0875	9.75	4.639132342	4.865434345	0.797	9.468733333	2.414975	1.902141108	3.658996112	8.001666667
NSFTV_94	7.5	15.45333333	29.20833333	0.916666667	3.719651113	93.16666667	21.46666667	9.666666667	4.680446307	4.89987301	0.803	7.324108333	3.436916667	2.324041581	3.730203523	6.001666667
NSFTV_96	9.75	12.025	37.02222222	1.111111111	2.610069793	101.6666667	22.58888889	8.444444444	4.840681386	5.07030085	0.795	8.394	3.38442	2.484691627	3.893516817	6.498333334
NSFTV_97	7.7	23.61333333	42.8125	1.0625	4.029806041	140.5	28.7625	10.75	4.951415934	5.288898145	0.714	7.2603375	3.1114375	2.124641937	3.632180788	8.668333334
NSFTV_98	8.2	26.34	25.2375	1.1375	3.098589659	83.88888889	22.67142857	11.57142857	4.893352133	5.043425117	0.861	9.970590909	2.495972727	2.103171385	3.799678359	3.501666667
NSFTV_99	8.95	22.495	33.2	1.541666667	2.922265122	134.3333333	26.70909091	9.909090909	4.752806185	5.011846681	0.772	9.583266667	3.157791667	2.492067064	3.962281456	7.665
NSFTV_100	8.7	10.60333333	27.62222222	1.611111111	2.978925155	114.8888889	23.94444444	11.55555556	5.032614201	5.340738082	0.735	8.138033333	3.382633333	2.440977983	3.850530743	6.501666667
NSFTV_101	9.5	20.51333333	27.625	1.45	2.818398258	86.16666667	27.45	11.08333333	4.894101478	5.209030676	0.73	9.632391667	2.644466667	2.121810339	3.778741677	3.331666667
NSFTV_102	8.7	21.25333333	27.85	1.1	3.481240089	105.5	30.75	10.5	4.600157644	4.86753445	0.765	9.8055	2.4696	2.030632002	3.750804407	6.835
NSFTV_103	7.75	16.97666667	30.175	1.05	2.957511061	95.08333333	24.13333333	9.777777778	4.881538499	4.998900038	0.889	7.528083333	3.534583333	2.404006862	3.784157247	5.335
NSFTV_105	7.2	24.64333333	31.83333333	1.533333333	3.727699446	131.1111111	24.9625	8	5.042251408	5.11635938	0.929	7.614041667	2.793958333	1.972322536	3.580265968	8.085
NSFTV_106	7.45	14.09333333	30.15	1.441666667	3.493979115	93.83333333	25.90833333	9.166666667	4.892852258	5.083472618	0.826	9.4203	2.934808333	2.332307312	3.879577807	6.831666667
NSFTV_107	9	18.88	28.64166667	1.266666667	3.012261576	114.25	23.2	10.27272727	4.521788577	4.953262954	0.65	9.943041667	3.080191667	2.483052849	3.9780785	7
NSFTV_108	9.35	22.68	41	1.583333333	2.47793798	112.7777778	29.18333333	12.5	5.11131822	5.279813895	0.845	9.037366667	3.417566667	2.542744385	3.951737507	8.668333334
NSFTV_109	7.7	24.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSFTV_110	7.5	24.92333333	44.83	1.3	3.601868077	143.4444444	26.76666667	10.125	4.807657412	5.101896885	0.745	8.7916	3.247266667	2.425836606	3.876720243	NA
NSFTV_111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSFTV_113	8.45	15.38	29.31818182	0.845454545	3.325689829	90.90909091	18.76	7.1	4.475061501	4.635699391	0.852	7.332636364	3.387509091	2.301063026	3.718414205	6.331666667
NSFTV_114	9.1	14.03	37.6	1.625	3.028522096	108.8333333	26.64166667	12.66666667	5.165737902	5.642202536	0.621	8.137845455	3.232454545	2.327944446	3.789667167	7
NSFTV_115	8.7	21.32	15.41666667	0.716666667	2.890371758	123.3333333	20.98333333	8	4.465908119	4.586666714	0.886	8.023333333	3.708816667	2.561459943	3.890664528	NA
NSFTV_116	8.2	19.60666667	38.88333333	1.458333333	2.696876901	136.0833333	26.34545455	11.27272727	5.148022878	5.348837635	0.818	9.164941667	2.987408333	2.316617839	3.846444121	8.668333334
NSFTV_117	7.95	0.453333333	24.075	0.975	3.928552307	135.0833333	25.45555556	9.555555556	4.794286786	4.88073367	0.917	7.897675	3.241233333	2.310726859	3.768701176	8
NSFTV_118	7.95	12.57666667	25.66666667	1.177777778	3.17805383	106.8888889	18.05	9.833333333	4.716264233	4.812184355	0.909	7.854366667	3.729766667	2.588539006	3.901176842	6.333333334
NSFTV_119	9.25	21.95	45.71666667	1.116666667	3.648491393	90.91666667	30.79090909	11.45454545	5.030437921	5.362997923	0.717	9.937891667	2.75335	2.244588681	3.860432825	9
NSFTV_120	8.35	19.57	34.80833333	1.583333333	2.978925155	135.0833333	26.09090909	11.27272727	4.931198463	5.043425117	0.894	9.167141667	3.156908333	2.424768802	3.905801525	7.833333334
NSFTV_121	8.2	15.28333333	32.53333333	1.008333333	2.803360381	113.6666667	22.10909091	10.72727273	4.72812501	5.065228693	0.714	7.50465	3.709325	2.499288155	3.82952977	6
NSFTV_122	10.05	22.12666667	39.46666667	1.491666667	3.355735008	160.1666667	29.46666667	13	4.68981766	4.934473933	0.783	7.650075	3.193858333	2.228339163	3.707238229	7.501666667
NSFTV_123	7.55	24.79	27.38888889	1.2	3.789855371	132.1111111	23.6	9.875	4.937086606	5.072328863	0.874	7.511091667	3.097058333	2.161630022	3.667314425	8.668333334
NSFTV_124	NA	24.445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NSFTV_125	7.4	23.59	41.42222222	1.188888889	3.801091445	153.0833333	29.48888889	10.66666667	4.987404575	5.148140263	0.852	8.212183333	3.069025	2.252166854	3.760505107	8.333333334
NSFTV_126	9.3	25.19	25.74	1.43	3.604893798	144	24.18571429	13.14285714	4.771625801	5.041990396	0.763	7.450941667	3.566516667	2.385532041	3.763370433	6.585
NSFTV_128	7.95	16.04666667	29	1.4	3.273995124	116.5555556	24.275	11.25	5.15224007	5.281818367	0.878	7.70395	3.347641667	2.352506363	3.774348949	6.668333334
NSFTV_129	7.75	25.15	26.09166667	1.166666667	3.795489189	136	26.44166667	10.25	4.864324175	5.112991301	0.78	7.633277778	3.099344444	2.187244073	3.690290957	8.668333334
NSFTV_130	7.65	25.355	23.06666667	1.083333333	3.83765859	144.3333333	24.61111111	8.444444444	4.830493179	4.940992861	0.895	7.544575	3.120641667	2.181013327	3.679155244	8.665
NSFTV_131	7.05	27.20666667	34.71	1.51	3.453157121	139.6	27.07	9.8	5.134490392	5.280379666	0.864	8.347644444	2.7529	2.110232055	3.661830804	9
NSFTV_132	7.75	26.5	43.16666667	1.538888889	3.149882953	128.8888889	29.42	13.2	5.635114226	5.836404363	0.818	8.325758333	2.7148	2.020779056	3.657102798	8.666666667
NSFTV_134	9.9	15.03333333	31.37272727	1.281818182	2.47730205	110.8181818	21.80909091	12.09090909	5.184333921	5.370215106	0.83	8.646136364	3.961845455	2.792694334	4.051771667	4.668333334
NSFTV_136	NA	NA	NA	NA	NA	87.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.33
NSFTV_137	7.95	22.43333333	30.83333333	1.133333333	4.04158821	130.2222222	27.91666667	8.666666667	4.675374445	4.728192001	0.949	8.116016667	3.0161	2.234916344	3.751952644	8.001666667
NSFTV_138	9.6	25.72666667	43.25	0.716666667	3.737669618	139.2222222	24.56666667	11.16666667	3.751183337	4.722318099	0.379	7.243433333	2.883	1.946291029	3.537586493	9
NSFTV_139	8.2	21.58	33.06	1.19	2.602689685	107.1	28.79	14.5	5.521860838	5.730424406	0.812	9.04751	2.33926	1.832650261	3.608805954	8.331666667
NSFTV_140	8.95	12.63333333	30.15454545	1.372727273	3.113515309	99.81818182	22.92	10.3	4.841822087	5.245443877	0.668	8.251154545	3.134427273	2.294734356	3.785043402	5.835
NSFTV_141	NA	23.28	39.15	1.066666667	3.592735594	129.3333333	26.28333333	12.83333333	4.727387819	5.403427851	0.509	8.075283333	2.432666667	1.765814684	3.51344165	9
NSFTV_142	8.8	25.235	36.96666667	1.088888889	3.884994333	194.3333333	29.71111111	10.66666667	4.906919516	5.073088309	0.847	8.161122222	2.8885	2.128538537	3.697338024	8.835
NSFTV_143	7.75	18.32333333	37.69	1.04	3.352407217	97.5	24.78	10	5.085742767	5.184588601	0.906	7.375	3.2199	2.249379445	3.694762366	5.5
NSFTV_144	7.4	18.05	21.43333333	0.766666667	NA	75	17.2	5.666666667	3.843030134	3.938340314	0.909	7.4059	3.2906	2.273948965	3.71490776	8.165
NSFTV_145	10.55	22.68	27.72	1.04	3.691999581	157.1	23.9625	11.5	4.50313746	5.02322241	0.594	8.73453	2.84297	2.163820603	3.74771094	8.335
NSFTV_146	NA	NA	22	1.066666667	NA	70	17.725	9.5	NA	4.532599493	NA	NA	NA	NA	NA	8
NSFTV_147	7.5	22.47	31.95	1.44375	2.75860248	105.9166667	22.66666667	12.77777778	5.575949103	5.708585735	0.876	7.851966667	2.399108333	1.734861316	3.4888452	6.498333334
NSFTV_148	NA	24.755	NA	NA	NA	90.66666667	NA	NA	4.477336814	4.919980926	0.642	NA	NA	NA	NA	8
NSFTV_149	8	22.97	36.8	1.558333333	2.920769235	140.6666667	31.21111111	13.22222222	5.371154691	5.483874424	0.893	9.352316667	2.8225	2.249674702	3.831131229	8.665
NSFTV_150	8.4	15.03	34.27	1.41	3.010620886	107.9	25.28	9.9	4.71939133	5.365976015	0.524	8.272422222	3.139988889	2.302556204	3.790849729	7.165
NSFTV_151	8.35	15.84	30.68	1.06	3.328228362	81.1	22.92857143	9.285714286	4.856706812	5.019925341	0.849	7.4139	3.42003	2.317202733	3.732496499	5.333333334
NSFTV_152	9.1	26.11	31.9	1.241666667	3.463128339	153.6666667	27.45833333	8.166666667	4.941047007	5.044499808	0.902	9.394816667	2.195816667	1.734106816	3.578931116	8
NSFTV_153	8.1	27.6	31.54166667	1.191666667	3.212186837	143.8333333	28.23333333	7.583333333	4.774912961	4.885323992	0.895	9.496883333	2.571383333	2.077244338	3.754154813	7.666666667
NSFTV_154	10.05	18.215	24.93333333	0.983333333	3.016351561	113.3333333	19.525	10.5	4.591747166	4.790957951	0.819	8.568158333	3.483383333	2.507481167	3.896042833	5.835
NSFTV_155	10.45	18.52666667	24.175	0.816666667	3.48635519	116.8333333	22.0625	9	4.564348191	4.662581093	0.906	7.519358333	3.464683333	2.37035277	3.764360813	7.335
NSFTV_156	8.1	24.23	33.29166667	1.308333333	3.79173684	98.08333333	26.3	12.41666667	4.984747523	5.14409724	0.853	7.389308333	3.115875	2.188669569	3.683247164	8.331666667
NSFTV_157	8	18.90666667	34.24444444	1.122222222	3.266607228	98.22222222	23.67142857	10.85714286	4.951907021	5.157137753	0.814	7.3989	3.362911111	2.308561642	3.732516416	5.331666667
NSFTV_158	8.05	20.11	41.4	1.066666667	3.184974273	102.1666667	25.41666667	9.166666667	4.805386233	5.107963638	0.739	6.951116667	3.47045	2.302196684	3.69763146	NA
NSFTV_160	9.35	18.35	26.28888889	1.022222222	3.392829132	134	29.28888889	8.444444444	4.698964065	4.80811103	0.897	8.377483333	3.052558333	2.25274688	3.768620193	7.335
NSFTV_161	7.7	23.56	30.78333333	1.316666667	3.501545355	96.11111111	24.26	12	5.562816104	5.797407734	0.791	7.683009091	3.016663636	2.133551944	3.665607338	5.333333334
NSFTV_162	7.6	24.88333333	49.44444444	0.655555556	3.763136225	129.1111111	27.8	10.33333333	4.622295436	5.031031922	0.664	8.092125	2.514041667	1.833374483	3.546893854	8.835
NSFTV_163	7.4	26.71666667	28.92222222	0.966666667	4.099884743	143.9166667	27.1	10.77777778	5.065754593	5.232444622	0.846	7.761075	2.610125	1.889985847	3.558789039	7.585
NSFTV_164	7.2	20.5	29.87777778	1.755555556	2.737249356	110.8333333	25.03333333	13.16666667	5.367532436	5.479712568	0.894	8.875233333	3.254144444	2.38710188	3.854019529	7
NSFTV_165	8.8	19.18	25.29166667	1.366666667	2.538973871	134.6666667	25.95	10.33333333	5.173792908	5.634789603	0.631	7.701481818	3.309981818	2.287188074	3.733866943	7.331666667
NSFTV_166	8.6	27.48666667	36.77916667	1.066666667	3.55296427	161	30.60909091	9.090909091	4.952620899	5.257968745	0.737	8.77615	2.868683333	2.208725777	3.779129885	8.666666667
NSFTV_168	7.7	27.95666667	34.96666667	0.95	3.576550269	159.4444444	32.2	10	4.838923916	5.179909135	0.711	8.782975	3.092733333	2.357858166	3.852586115	8.835
NSFTV_171	7.8	25.28666667	22.09166667	1.175	3.757316616	87.16666667	22.09166667	9.333333333	5.008410599	5.157617484	0.861	8.880391667	2.987925	2.294116838	3.822013502	5.001666667
NSFTV_173	7.6	18.17	32.76666667	1.033333333	2.85263143	88.11111111	23.18333333	9.833333333	4.624972813	4.758504206	0.875	7.714477778	3.313355556	2.307818044	3.751356738	6.835
NSFTV_174	9	22.84	39.53333333	1.544444444	2.47793798	151.6666667	31.24285714	14.42857143	5.088477781	5.277385531	0.828	9.854327273	2.849645455	2.321397926	3.898137778	8.833333334
NSFTV_175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSFTV_176	9.8	22.505	36.75833333	1.891666667	2.668384945	131.6666667	26.29166667	14.5	5.152327739	5.318936654	0.847	9.099141667	3.6986	2.564357516	3.95548184	7.5
NSFTV_177	7.6	13.39	24.28888889	1.166666667	3.595026545	90	20.36666667	10.5	4.894441903	5.02148531	0.881	7.960258333	3.238133333	2.336748971	3.786726565	4.831666667
NSFTV_178	8.05	27.28666667	41.88333333	1.541666667	3.215536924	159.75	30.1	9.818181818	5.318565527	5.484796933	0.847	6.7898	2.764791667	1.836237439	3.460431233	7.666666667
NSFTV_179	8.7	21.43	20.725	0.816666667	3.585831078	97.41666667	20.775	10.25	4.658710953	4.743481802	0.919	7.486616667	3.5665	2.452777951	3.810186458	5.331666667
NSFTV_180	8	18.94333333	31.85833333	1	3.10980473	112.75	25.6	9.333333333	4.820281566	5.012855051	0.825	7.188383333	3.593733333	2.42234765	3.774605596	6.498333334
NSFTV_181	7.45	18.605	34.03333333	1.0125	3.341093458	126.1666667	22.95555556	12.11111111	5.106496286	5.336663572	0.794	7.519775	3.513616667	2.424476714	3.799550034	7.331666667
NSFTV_182	7.4	18.245	32.85	1.441666667	2.90416508	128	23.93333333	13.66666667	5.321382639	5.451515212	0.878	8.541775	3.380958333	2.481152389	3.897613857	6.166666667
NSFTV_183	7.6	23.87	34.07777778	1.7	2.751535313	122.4444444	22.86666667	11.55555556	5.139712336	5.252709633	0.893	8.686627273	3.092918182	2.335176362	3.832389699	8.331666667
