Location	Type	Year	Yield
Location1 	sorte1	2002	99.9157530576
Location1 	sorte1	2002	99.700087217
Location1 	sorte1	2002	98.1318720446
Location1 	sorte1	2002	101.4911896104
Location1 	sorte1	2002	100.7091835093
Location1 	sorte1	2002	98.9507298426
Location1 	sorte1	2002	102.7686995346
Location1 	sorte1	2002	97.8507805227
Location1 	sorte1	2002	100.9960671898
Location1 	sorte1	2002	101.3107646343
Location1 	sorte1	2002	103.5440150854
Location1 	sorte1	2002	99.6345891586
Location1 	sorte1	2002	99.6558232611
Location1 	sorte1	2002	99.1641535039
Location1 	sorte1	2002	100.6655735658
Location1 	sorte1	2002	99.2098374422
Location1 	sorte1	2002	99.142451727
Location1 	sorte1	2002	101.8334759832
Location1 	sorte1	2002	100.6736209707
Location1 	sorte1	2002	98.7723790195
Location1 	sorte1	2002	99.218464459
Location1 	sorte1	2002	99.5206452048
Location1 	sorte1	2002	100.2356906002
Location1 	sorte1	2002	99.4358188386
Location1 	sorte1	2002	98.460569719
Location1 	sorte1	2002	99.702119864
Location1 	sorte1	2002	102.5367239683
Location1 	sorte1	2002	101.8423545214
Location1 	sorte1	2002	101.8934861209
Location1 	sorte1	2002	98.6784501926
Location1 	sorte1	2002	101.1445294908
Location1 	sorte1	2002	101.3653394062
Location1 	sorte1	2002	100.29649521
Location1 	sorte1	2002	101.6416477806
Location1 	sorte1	2002	99.1480448893
Location1 	sorte1	2002	99.9586176377
Location1 	sorte1	2002	98.4346809394
Location1 	sorte1	2002	101.5422273227
Location1 	sorte1	2002	99.2351328695
Location1 	sorte1	2002	100.1974389838
Location1 	sorte1	2002	99.9189816942
Location1 	sorte1	2002	102.5267882173
Location1 	sorte1	2002	100.31923512
Location1 	sorte1	2002	96.5715104483
Location1 	sorte1	2002	102.4354650116
Location1 	sorte1	2003	101.3483227757
Location1 	sorte1	2003	101.4363766428
Location1 	sorte1	2003	99.7245608165
Location1 	sorte1	2003	100.3900413211
Location1 	sorte1	2003	100.6877172815
Location1 	sorte1	2003	100.2338044315
Location1 	sorte1	2003	97.2590886608
Location1 	sorte1	2003	98.8950069791
Location1 	sorte1	2003	101.4500804151
Location1 	sorte1	2003	100.149937647
Location1 	sorte1	2003	98.7058284364
Location1 	sorte1	2003	102.1925622829
Location1 	sorte1	2003	98.9812471706
Location1 	sorte1	2003	100.5487015904
Location1 	sorte1	2003	99.477512321
Location1 	sorte1	2003	101.6384507477
Location1 	sorte1	2003	99.8283710108
Location1 	sorte1	2003	99.9589075281
Location1 	sorte1	2003	98.8371013836
Location1 	sorte1	2003	99.3863856376
Location1 	sorte1	2003	97.9037333053
Location1 	sorte1	2003	98.3219543505
Location1 	sorte1	2003	102.9217632965
Location1 	sorte1	2003	98.9446095566
Location1 	sorte1	2003	99.8660536639
Location1 	sorte1	2003	98.469323377
Location1 	sorte1	2003	99.3717553489
Location1 	sorte1	2003	99.3367998531
Location1 	sorte1	2003	100.6145695092
Location1 	sorte1	2003	97.7436393789
Location1 	sorte1	2003	100.2354929467
Location1 	sorte1	2003	102.2924633702
Location1 	sorte1	2003	101.0368787513
Location1 	sorte1	2003	102.3196308169
Location1 	sorte1	2003	98.6628684415
Location1 	sorte1	2003	100.6961755564
Location1 	sorte1	2003	100.6367905453
Location1 	sorte1	2003	99.6431787023
Location1 	sorte1	2003	101.1359162674
Location1 	sorte1	2003	99.9940697425
Location1 	sorte1	2003	100.4822959063
Location1 	sorte1	2003	99.0673823915
Location1 	sorte1	2003	100.6299437411
Location1 	sorte1	2003	99.5871445745
Location1 	sorte1	2003	99.6783761526
Location1 	sorte1	2003	100.2180749819
Location1 	sorte1	2003	101.7991382611
Location1 	sorte1	2003	99.6470513716
Location1 	sorte1	2003	97.4006343116
Location1 	sorte1	2003	101.9746473363
Location1 	sorte2	2001	97.2099912414
Location1 	sorte2	2001	102.5103450334
Location1 	sorte2	2001	94.4235117555
Location1 	sorte2	2001	100.3795622236
Location1 	sorte2	2001	99.8700780694
Location1 	sorte2	2001	101.2644131475
Location1 	sorte2	2001	103.4752757564
Location1 	sorte2	2001	95.647138811
Location1 	sorte2	2001	103.4156242834
Location1 	sorte2	2001	100.5494959556
Location1 	sorte2	2001	102.8082373677
Location1 	sorte2	2001	103.512975769
Location1 	sorte2	2001	101.9637485754
Location1 	sorte2	2001	97.570175513
Location1 	sorte2	2001	98.271592224
Location1 	sorte2	2001	91.6632836243
Location1 	sorte2	2001	101.6411013083
Location1 	sorte2	2001	102.9909957063
Location1 	sorte2	2001	101.5781741971
Location1 	sorte2	2001	100.7741065672
Location1 	sorte2	2001	93.1151526957
Location1 	sorte2	2001	98.7383772337
Location1 	sorte2	2001	97.2706528718
Location1 	sorte2	2001	97.5603058476
Location1 	sorte2	2001	98.825818145
Location1 	sorte2	2001	99.9719667524
Location1 	sorte2	2001	95.4971220118
Location1 	sorte2	2001	100.1603844882
Location1 	sorte2	2001	102.2792463793
Location1 	sorte2	2001	101.1445809004
Location1 	sorte2	2001	94.3054848215
Location1 	sorte2	2001	98.3546322678
Location1 	sorte2	2001	101.5902940249
Location1 	sorte2	2001	95.4067191073
Location1 	sorte2	2001	99.0440758182
Location1 	sorte2	2001	96.3431184471
Location1 	sorte2	2001	92.597346452
Location1 	sorte2	2001	102.4308777401
Location1 	sorte2	2001	99.0795808685
Location1 	sorte2	2001	103.2840816705
Location1 	sorte2	2001	95.6108708829
Location1 	sorte2	2001	91.9768207042
Location1 	sorte2	2001	98.2183927682
Location1 	sorte2	2001	sorte2
Location1 	sorte2	2001	99.5469854755
Location1 	sorte2	2001	100.8868484192
Location1 	sorte2	2001	98.2781867898
Location1 	sorte2	2001	99.8598022708
Location1 	sorte2	2001	97.062514977
Location1 	sorte2	2001	101.63302901
Location1 	sorte2	2002	98.67229121
Location1 	sorte2	2002	103.3635006303
Location1 	sorte2	2002	102.7782525472
Location1 	sorte2	2002	100.8839107524
Location1 	sorte2	2002	100.4088090765
Location1 	sorte2	2002	101.1032823205
Location1 	sorte2	2002	102.7666145518
Location1 	sorte2	2002	102.7437000442
Location1 	sorte2	2002	104.5001816262
Location1 	sorte2	2002	101.4571413885
Location1 	sorte2	2002	105.3585306615
Location1 	sorte2	2002	104.2896690264
Location1 	sorte2	2002	103.4788373723
Location1 	sorte2	2002	99.3870089139
Location1 	sorte2	2002	102.8247855769
Location1 	sorte2	2002	102.6077258017
Location1 	sorte2	2002	102.4483822111
Location1 	sorte2	2002	103.6753614628
Location1 	sorte2	2002	101.0095068229
Location1 	sorte2	2002	100.6834487229
Location1 	sorte2	2002	98.6335837654
Location1 	sorte2	2002	100.8735512598
Location1 	sorte2	2002	97.162331932
Location1 	sorte2	2002	100.0027677301
Location1 	sorte2	2002	99.2292377988
Location1 	sorte2	2002	99.3731153537
Location1 	sorte2	2002	104.3841982545
Location1 	sorte2	2002	101.9546630153
Location1 	sorte2	2002	103.4036422612
Location1 	sorte2	2002	101.6351966645
Location1 	sorte2	2002	101.8443876181
Location1 	sorte2	2002	98.1637383514
Location1 	sorte2	2002	100.9634446802
Location1 	sorte2	2002	99.9810875625
Location1 	sorte2	2002	99.0748849124
Location1 	sorte2	2002	97.6412989895
Location1 	sorte2	2002	100.6433622457
Location1 	sorte2	2002	102.0694900873
Location1 	sorte2	2002	102.4907111814
Location1 	sorte2	2002	104.4002315865
Location1 	sorte2	2002	97.6781238807
Location1 	sorte2	2002	105.8679889505
Location1 	sorte2	2002	98.0839562055
Location1 	sorte2	2002	99.935045185
Location1 	sorte2	2002	100.9956817417
Location1 	sorte2	2002	100.8790133306
Location1 	sorte2	2002	99.0367155475
Location1 	sorte2	2002	100.9762807479
Location1 	sorte2	2002	97.8120957226
Location1 	sorte2	2002	101.9165123598
Location1 	sorte2	2003	99.198827416
Location1 	sorte2	2003	102.8916446574
Location1 	sorte2	2003	103.8616364657
Location1 	sorte2	2003	101.4733468028
Location1 	sorte2	2003	100.4061416721
Location1 	sorte2	2003	100.6803790325
Location1 	sorte2	2003	101.2793814971
Location1 	sorte2	2003	100.9170904497
Location1 	sorte2	2003	104.4384702673
Location1 	sorte2	2003	100.2008157033
Location1 	sorte2	2003	101.5525370022
Location1 	sorte2	2003	101.2586216074
Location1 	sorte2	2003	103.2594487159
Location1 	sorte2	2003	97.7152553666
Location1 	sorte2	2003	102.5979893923
Location1 	sorte2	2003	103.9444499292
Location1 	sorte2	2003	102.121752454
Location1 	sorte2	2003	103.0411062251
Location1 	sorte2	2003	100.2715690527
Location1 	sorte2	2003	101.0388197418
Location1 	sorte2	2003	98.4606006127
Location1 	sorte2	2003	99.8168651847
Location1 	sorte2	2003	97.1346797711
Location1 	sorte2	2003	98.1050881395
Location1 	sorte2	2003	98.1973109385
Location1 	sorte2	2003	99.5429012422
Location1 	sorte2	2003	103.8006759519
Location1 	sorte2	2003	100.1741373656
Location1 	sorte2	2003	102.554461686
Location1 	sorte2	2003	99.8952578657
Location1 	sorte2	2003	102.0419504779
Location1 	sorte2	2003	97.5339099312
Location1 	sorte2	2003	102.3300892981
Location1 	sorte2	2003	99.9421516761
Location1 	sorte2	2003	99.0519758385
Location1 	sorte2	2003	96.8047700609
Location1 	sorte2	2003	100.4279322954
Location1 	sorte2	2003	102.7205589139
Location1 	sorte2	2003	101.468465321
Location1 	sorte2	2003	104.0046424033
Location1 	sorte2	2003	97.2531383881
Location1 	sorte2	2003	104.1863512414
Location1 	sorte2	2003	95.5546273953
Location1 	sorte2	2003	98.7239836447
Location1 	sorte2	2003	99.4900650231
Location1 	sorte2	2003	100.6062218743
Location1 	sorte2	2003	98.2361434051
Location1 	sorte2	2003	98.7388912874
Location1 	sorte2	2003	96.6768866123
Location1 	sorte2	2003	101.4217273733
Location1 	sorte3	2001	88.2782338176
Location1 	sorte3	2001	97.5648067504
Location1 	sorte3	2001	90.8987226009
Location1 	sorte3	2001	99.2577328827
Location1 	sorte3	2001	93.9901340911
Location1 	sorte3	2001	95.1538760143
Location1 	sorte3	2001	99.5457692027
Location1 	sorte3	2001	99.1493875877
Location1 	sorte3	2001	96.3080313544
Location1 	sorte3	2001	101.687194769
Location1 	sorte3	2001	104.673864175
Location1 	sorte3	2001	99.8992874142
Location1 	sorte3	2001	87.9898248836
Location1 	sorte3	2001	99.6013956724
Location1 	sorte3	2001	91.1409148346
Location1 	sorte3	2001	86.1355145746
Location1 	sorte3	2001	99.7261151712
Location1 	sorte3	2001	105.3736151441
Location1 	sorte3	2001	100.8099296775
Location1 	sorte3	2001	101.1050447865
Location1 	sorte3	2001	94.3311154612
Location1 	sorte3	2001	85.8536894115
Location1 	sorte3	2001	100.8829830139
Location1 	sorte3	2001	94.3045116216
Location1 	sorte3	2001	94.504359405
Location1 	sorte3	2001	98.8973719598
Location1 	sorte3	2001	98.3078051334
Location1 	sorte3	2001	95.1338827378
Location1 	sorte3	2001	101.1059494104
Location1 	sorte3	2001	103.0577420154
Location1 	sorte3	2001	89.7246178421
Location1 	sorte3	2001	101.5333621473
Location1 	sorte3	2001	101.4421263207
Location1 	sorte3	2001	105.3617515539
Location1 	sorte3	2001	98.2303062251
Location1 	sorte3	2001	91.7967530122
Location1 	sorte3	2001	90.4566700787
Location1 	sorte3	2001	100.8297252307
Location1 	sorte3	2001	100.9055167973
Location1 	sorte3	2001	100.9832996722
Location1 	sorte3	2001	92.8613369672
Location1 	sorte3	2001	103.5845629573
Location1 	sorte3	2001	101.6157677921
Location1 	sorte3	2001	97.6992949555
Location1 	sorte3	2001	97.8910259469
Location1 	sorte3	2001	95.9945972892
Location1 	sorte3	2001	99.9509087848
Location1 	sorte3	2001	97.155118626
Location1 	sorte3	2001	97.2648793624
Location1 	sorte3	2001	99.7892975331
Location1 	sorte3	2002	102.8088588455
Location1 	sorte3	2002	99.196703268
Location1 	sorte3	2002	99.834063436
Location1 	sorte3	2002	102.0539818241
Location1 	sorte3	2002	94.7843240959
Location1 	sorte3	2002	94.3287621137
Location1 	sorte3	2002	100.3187778922
Location1 	sorte3	2002	99.3274201491
Location1 	sorte3	2002	100.2627389365
Location1 	sorte3	2002	102.6883828211
Location1 	sorte3	2002	107.0579585294
Location1 	sorte3	2002	101.5570447453
Location1 	sorte3	2002	100.4975768532
Location1 	sorte3	2002	98.7267122095
Location1 	sorte3	2002	96.1441577572
Location1 	sorte3	2002	104.6116025226
Location1 	sorte3	2002	100.9042860967
Location1 	sorte3	2002	105.3677853134
Location1 	sorte3	2002	101.1612342013
Location1 	sorte3	2002	101.3329298425
Location1 	sorte3	2002	100.7536344371
Location1 	sorte3	2002	99.4362213888
Location1 	sorte3	2002	103.1749858361
Location1 	sorte3	2002	94.9749344314
Location1 	sorte3	2002	96.8783941207
Location1 	sorte3	2002	99.5879767025
Location1 	sorte3	2002	98.2615181891
Location1 	sorte3	2002	96.0913840236
Location1 	sorte3	2002	102.6059632794
Location1 	sorte3	2002	105.0000950233
Location1 	sorte3	2002	93.7206220736
Location1 	sorte3	2002	102.8645343791
Location1 	sorte3	2002	102.7396100463
Location1 	sorte3	2002	106.6420557868
Location1 	sorte3	2002	101.0511190999
Location1 	sorte3	2002	104.8355937118
Location1 	sorte3	2002	102.1184553614
Location1 	sorte3	2002	102.0936715495
Location1 	sorte3	2002	102.1322277595
Location1 	sorte3	2002	100.8942256793
Location1 	sorte3	2002	101.0398633111
Location1 	sorte3	2002	106.2265521311
Location1 	sorte3	2002	101.8314131048
Location1 	sorte3	2002	100.5513190842
Location1 	sorte3	2002	100.1465538817
Location1 	sorte3	2002	96.690071302
Location1 	sorte3	2002	101.7032415148
Location1 	sorte3	2002	97.4869258523
Location1 	sorte3	2002	98.3028839679
Location1 	sorte3	2002	98.2455872647
Location1 	sorte3	2003	99.0828854732
Location1 	sorte3	2003	97.4398530808
Location1 	sorte3	2003	96.9682433687
Location1 	sorte3	2003	100.0009481853
Location1 	sorte3	2003	96.3347837038
Location1 	sorte3	2003	94.8403648665
Location1 	sorte3	2003	98.8500873685
Location1 	sorte3	2003	100.0397364246
Location1 	sorte3	2003	98.5151657477
Location1 	sorte3	2003	101.3312412588
Location1 	sorte3	2003	105.1078406005
Location1 	sorte3	2003	100.4259229483
Location1 	sorte3	2003	99.1588526253
Location1 	sorte3	2003	98.6557537605
Location1 	sorte3	2003	92.4124435037
Location1 	sorte3	2003	103.5962443027
Location1 	sorte3	2003	98.2622810884
Location1 	sorte3	2003	104.6892711726
Location1 	sorte3	2003	100.742135576
Location1 	sorte3	2003	101.0803744972
Location1 	sorte3	2003	99.452115663
Location1 	sorte3	2003	97.3990590647
Location1 	sorte3	2003	100.0436390203
Location1 	sorte3	2003	94.4106683649
Location1 	sorte3	2003	95.3462026721
Location1 	sorte3	2003	98.5061524166
Location1 	sorte3	2003	98.4197449584
Location1 	sorte3	2003	95.3044296397
Location1 	sorte3	2003	100.558660274
Location1 	sorte3	2003	101.6848828477
Location1 	sorte3	2003	95.1664959761
Location1 	sorte3	2003	101.3087396834
Location1 	sorte3	2003	100.2954227633
Location1 	sorte3	2003	103.3173258762
Location1 	sorte3	2003	97.5109229954
Location1 	sorte3	2003	102.0997854508
Location1 	sorte3	2003	101.5628499994
Location1 	sorte3	2003	100.3462468383
Location1 	sorte3	2003	101.1249634695
Location1 	sorte3	2003	100.2934296779
Location1 	sorte3	2003	98.2112879988
Location1 	sorte3	2003	104.2995664532
Location1 	sorte3	2003	102.0434326205
Location1 	sorte3	2003	99.8703386862
Location1 	sorte3	2003	97.8075539578
Location1 	sorte3	2003	95.6627529403
Location1 	sorte3	2003	99.9838357087
Location1 	sorte3	2003	96.6881104496
Location1 	sorte3	2003	97.0206034477
Location1 	sorte3	2003	99.6641310996
Location2	sorte1	2001	100.3755047165
Location2	sorte1	2001	98.4223791163
Location2	sorte1	2001	103.0517419998
Location2	sorte1	2001	101.3264986307
Location2	sorte1	2001	100.8839931419
Location2	sorte1	2001	100.4814572929
Location2	sorte1	2001	98.1891100999
Location2	sorte1	2001	102.5569382095
Location2	sorte1	2001	102.2998319639
Location2	sorte1	2001	100.5442563309
Location2	sorte1	2001	99.3051514682
Location2	sorte1	2001	99.8021360227
Location2	sorte1	2001	99.2734593038
Location2	sorte1	2001	99.2530511902
Location2	sorte1	2001	99.6565532004
Location2	sorte1	2001	104.9345925725
Location2	sorte1	2001	101.0627931127
Location2	sorte1	2001	101.2799288811
Location2	sorte1	2001	102.2996103762
Location2	sorte1	2001	104.0050790859
Location2	sorte1	2001	103.7047688948
Location2	sorte1	2001	100.8357692548
Location2	sorte1	2001	99.4412058506
Location2	sorte1	2001	100.1933939203
Location2	sorte1	2001	102.3353564882
Location2	sorte1	2001	102.0297516497
Location2	sorte1	2001	101.0171959827
Location2	sorte1	2001	98.6193818019
Location2	sorte1	2001	99.2085480774
Location2	sorte1	2001	101.880192825
Location2	sorte1	2001	102.885407452
Location2	sorte1	2001	100.2980449645
Location2	sorte1	2001	98.5452950001
Location2	sorte1	2001	101.9508813748
Location2	sorte1	2001	101.2248060121
Location2	sorte1	2001	102.7559846453
Location2	sorte1	2001	100.9845894128
Location2	sorte1	2001	102.0519361495
Location2	sorte1	2001	101.0653047623
Location2	sorte1	2001	100.2418142864
Location2	sorte1	2001	99.8401776979
Location2	sorte1	2001	101.5484557454
Location2	sorte1	2001	100.3642712193
Location2	sorte1	2001	102.334745788
Location2	sorte1	2001	101.2079983848
Location2	sorte1	2001	98.9058563858
Location2	sorte1	2001	97.3503479599
Location2	sorte1	2001	100.0092222677
Location2	sorte1	2001	100.7897687544
Location2	sorte1	2001	97.9559179501
Location2	sorte1	2002	100.8757539133
Location2	sorte1	2002	98.5616536077
Location2	sorte1	2002	100.7763946493
Location2	sorte1	2002	98.7313188046
Location2	sorte1	2002	101.7159854681
Location2	sorte1	2002	101.1154838265
Location2	sorte1	2002	99.0668182987
Location2	sorte1	2002	103.3070825142
Location2	sorte1	2002	99.1267214785
Location2	sorte1	2002	100.725881772
Location2	sorte1	2002	99.8282923265
Location2	sorte1	2002	99.8188849976
Location2	sorte1	2002	100.0523304702
Location2	sorte1	2002	99.4699782312
Location2	sorte1	2002	96.479449039
Location2	sorte1	2002	100.0965604622
Location2	sorte1	2002	100.9616719082
Location2	sorte1	2002	102.0888443285
Location2	sorte1	2002	102.7313683804
Location2	sorte1	2002	103.3487596369
Location2	sorte1	2002	102.8358470129
Location2	sorte1	2002	100.4544211931
Location2	sorte1	2002	99.0238787775
Location2	sorte1	2002	99.9102736126
Location2	sorte1	2002	101.7531338203
Location2	sorte1	2002	101.6689782229
Location2	sorte1	2002	98.7855978015
Location2	sorte1	2002	98.6189135789
Location2	sorte1	2002	98.8629377481
Location2	sorte1	2002	102.508831732
Location2	sorte1	2002	101.0932454562
Location2	sorte1	2002	100.1715352305
Location2	sorte1	2002	97.8916249856
Location2	sorte1	2002	99.9162327723
Location2	sorte1	2002	100.5484444366
Location2	sorte1	2002	101.0299817777
Location2	sorte1	2002	97.9745663298
Location2	sorte1	2002	102.7668011325
Location2	sorte1	2002	97.3294773442
Location2	sorte1	2002	99.5395579543
Location2	sorte1	2002	99.25005942
Location2	sorte1	2002	100.6364493148
Location2	sorte1	2002	100.7924019713
Location2	sorte1	2002	101.9266755719
Location2	sorte1	2002	101.306738157
Location2	sorte1	2002	98.9392830254
Location2	sorte1	2002	97.4071476404
Location2	sorte1	2002	100.0306707011
Location2	sorte1	2002	100.9799224223
Location2	sorte1	2002	97.5375279739
Location2	sorte1	2003	99.7533768749
Location2	sorte1	2003	97.5510127856
Location2	sorte1	2003	100.9189407913
Location2	sorte1	2003	98.4959424127
Location2	sorte1	2003	100.3722405013
Location2	sorte1	2003	99.7056853781
Location2	sorte1	2003	101.3485210818
Location2	sorte1	2003	101.6148276843
Location2	sorte1	2003	99.3386056618
Location2	sorte1	2003	100.4280490247
Location2	sorte1	2003	101.7049465175
Location2	sorte1	2003	99.1811354381
Location2	sorte1	2003	98.4695930956
Location2	sorte1	2003	98.8571941263
Location2	sorte1	2003	97.7230208349
Location2	sorte1	2003	100.4384240996
Location2	sorte1	2003	100.6436687739
Location2	sorte1	2003	100.8229487321
Location2	sorte1	2003	101.8608760808
Location2	sorte1	2003	103.990545765
Location2	sorte1	2003	102.2017481824
Location2	sorte1	2003	99.4644376886
Location2	sorte1	2003	98.3145417504
Location2	sorte1	2003	100.8056601607
Location2	sorte1	2003	101.48929822
Location2	sorte1	2003	101.835607997
Location2	sorte1	2003	99.5890912304
Location2	sorte1	2003	98.4467052283
Location2	sorte1	2003	98.7415512522
Location2	sorte1	2003	101.9720171455
Location2	sorte1	2003	100.7365246515
Location2	sorte1	2003	99.7574520949
Location2	sorte1	2003	98.6815015849
Location2	sorte1	2003	98.7526503374
Location2	sorte1	2003	100.9095040514
Location2	sorte1	2003	101.0516573091
Location2	sorte1	2003	98.5493404604
Location2	sorte1	2003	101.7320755328
Location2	sorte1	2003	95.915694271
Location2	sorte1	2003	99.8424902736
Location2	sorte1	2003	98.8406308694
Location2	sorte1	2003	100.8594342222
Location2	sorte1	2003	100.2450748803
Location2	sorte1	2003	100.7506044708
Location2	sorte1	2003	100.9460605039
Location2	sorte1	2003	98.7009004935
Location2	sorte1	2003	97.4879649489
Location2	sorte1	2003	99.5896332674
Location2	sorte1	2003	100.5008004589
Location2	sorte1	2003	97.6413610345
Location2	sorte2	2001	101.0523373938
Location2	sorte2	2001	97.2249160443
Location2	sorte2	2001	100.9119437281
Location2	sorte2	2001	101.5807788572
Location2	sorte2	2001	100.9885365388
Location2	sorte2	2001	100.4094843488
Location2	sorte2	2001	100.9411292351
Location2	sorte2	2001	103.8389280707
Location2	sorte2	2001	98.0676699309
Location2	sorte2	2001	96.7049054301
Location2	sorte2	2001	98.5607806206
Location2	sorte2	2001	97.4379371698
Location2	sorte2	2001	101.210086943
Location2	sorte2	2001	101.3945792338
Location2	sorte2	2001	100.6726600819
Location2	sorte2	2001	104.6143497064
Location2	sorte2	2001	101.1129167255
Location2	sorte2	2001	94.871538114
Location2	sorte2	2001	98.4025366166
Location2	sorte2	2001	100.6034352621
Location2	sorte2	2001	102.2426734611
Location2	sorte2	2001	103.8838281827
Location2	sorte2	2001	102.3560266327
Location2	sorte2	2001	97.7250525926
Location2	sorte2	2001	98.1962139087
Location2	sorte2	2001	98.991845133
Location2	sorte2	2001	103.9753860948
Location2	sorte2	2001	102.0779771181
Location2	sorte2	2001	99.0221387359
Location2	sorte2	2001	102.3759918844
Location2	sorte2	2001	102.2286756228
Location2	sorte2	2001	99.4387487706
Location2	sorte2	2001	100.4073619915
Location2	sorte2	2001	103.2025892948
Location2	sorte2	2001	101.9134828319
Location2	sorte2	2001	106.1037903198
Location2	sorte2	2001	105.0721857278
Location2	sorte2	2001	98.0073075406
Location2	sorte2	2001	99.693612639
Location2	sorte2	2001	99.0105790746
Location2	sorte2	2001	102.2827400546
Location2	sorte2	2001	97.6631003531
Location2	sorte2	2001	102.6900475284
Location2	sorte2	2001	105.6667464636
Location2	sorte2	2001	100.8946140676
Location2	sorte2	2001	96.1093166531
Location2	sorte2	2001	100.6303312308
Location2	sorte2	2001	101.0718412243
Location2	sorte2	2001	99.8405761082
Location2	sorte2	2001	97.9315543601
Location2	sorte2	2002	101.2134968119
Location2	sorte2	2002	96.123215189
Location2	sorte2	2002	96.8655324152
Location2	sorte2	2002	102.0662322271
Location2	sorte2	2002	100.633130095
Location2	sorte2	2002	99.39037856
Location2	sorte2	2002	102.2250378187
Location2	sorte2	2002	99.6085100399
Location2	sorte2	2002	97.7446723452
Location2	sorte2	2002	97.1934661846
Location2	sorte2	2002	97.66441801
Location2	sorte2	2002	96.6955603598
Location2	sorte2	2002	100.1436775713
Location2	sorte2	2002	101.4640318937
Location2	sorte2	2002	99.9120515978
Location2	sorte2	2002	98.6928063137
Location2	sorte2	2002	101.1695507014
Location2	sorte2	2002	94.5646753206
Location2	sorte2	2002	98.4123656934
Location2	sorte2	2002	100.9158420318
Location2	sorte2	2002	100.7724909475
Location2	sorte2	2002	96.8806591996
Location2	sorte2	2002	101.9425663646
Location2	sorte2	2002	95.7552228562
Location2	sorte2	2002	97.4524069403
Location2	sorte2	2002	98.6591474723
Location2	sorte2	2002	99.5485299908
Location2	sorte2	2002	101.9052267065
Location2	sorte2	2002	98.7610489261
Location2	sorte2	2002	103.1223829292
Location2	sorte2	2002	99.1416729613
Location2	sorte2	2002	99.2497664846
Location2	sorte2	2002	100.2721811843
Location2	sorte2	2002	101.6509406835
Location2	sorte2	2002	100.5485744397
Location2	sorte2	2002	101.4130211574
Location2	sorte2	2002	102.0495500501
Location2	sorte2	2002	98.6720657656
Location2	sorte2	2002	98.0710868882
Location2	sorte2	2002	98.555562947
Location2	sorte2	2002	99.6414984944
Location2	sorte2	2002	95.6310020411
Location2	sorte2	2002	102.3656194837
Location2	sorte2	2002	98.4600340217
Location2	sorte2	2002	101.3240708981
Location2	sorte2	2002	95.6780687648
Location2	sorte2	2002	101.2262362035
Location2	sorte2	2002	100.8251474419
Location2	sorte2	2002	99.3056246909
Location2	sorte2	2002	97.3793804849
Location2	sorte2	2003	99.8152881571
Location2	sorte2	2003	96.2883125386
Location2	sorte2	2003	95.8757669376
Location2	sorte2	2003	100.5720100076
Location2	sorte2	2003	99.9439157278
Location2	sorte2	2003	100.2370442103
Location2	sorte2	2003	101.5674817081
Location2	sorte2	2003	100.8532851449
Location2	sorte2	2003	96.8664066082
Location2	sorte2	2003	96.453472337
Location2	sorte2	2003	98.5062179168
Location2	sorte2	2003	98.3010105055
Location2	sorte2	2003	99.9389577823
Location2	sorte2	2003	100.7178209053
Location2	sorte2	2003	98.00895591
