Region	year	City	Land_price	Apartment_price		
South	2002	Essen	22.33	40.9
South	2002	Essen	21.18	39.97
South	2002	Essen	23.11	41.23
South	2002	Essen	19.08	38.34
South	2002	Essen	20.88	43.78
South	2002	Essen	18.81	40.13
South	2002	Essen	19.56	38.36
South	2002	Essen	18.33	34.3
South	2002	Essen	20.26	41.4
South	2002	Essen	18.54	38.85
South	2002	Essen	16.51	35.09
South	2002	Essen	19.14	39.23
South	2002	Essen	16.85	39.38
South	2002	Essen	22.4	40.97
South	2002	Essen	22.47	43.91
South	2002	Essen	18.98	41.16
South	2002	Essen	23.36	43.7
South	2002	Essen	18.75	41.33
South	2002	Essen	21.26	41.82
North	2001	Munich	21.15	40.51
North	2001	Munich	16.13	36.1
North	2001	Munich	18.09	36.22
North	2001	Munich	19.2	35.33
North	2001	Munich	15.84	33.66
North	2001	Munich	18.66	41.47
North	2001	Munich	17.14	39.35
North	2001	Munich	19.38	36.9
North	2001	Munich	23.17	41.02
North	2001	Munich	20.18	40.93
North	2001	Munich	21.34	40.57
North	2001	Munich	14.32	35.53
North	2001	Munich	17.55	34.52
North	2001	Munich	19.77	40
North	2001	Munich	21.78	43.91
North	2001	Munich	14.57	33.94
North	2001	Munich	18.81	40.36
North	2001	Munich	17.31	35.46
North	2001	Munich	22.03	41.97
North	2001	Munich	20.36	35.46
North	2001	Freiburg	21.4	45.54
North	2001	Freiburg	23.25	49.22
North	2001	Freiburg	17.85	35.59
North	2001	Freiburg	17.12	37.19
North	2001	Freiburg	22.5	41.42
North	2001	Freiburg	23.13	42.93
North	2001	Freiburg	20.5	41.41
North	2001	Freiburg	20.09	42.56
North	2001	Freiburg	21.83	40.88
North	2001	Freiburg	21.32	43.96
North	2001	Freiburg	18.53	37.69
North	2001	Freiburg	18.68	38.9
North	2001	Freiburg	22.05	43.9
North	2001	Freiburg	18.34	40.07
North	2001	Freiburg	18.38	40.74
North	2001	Freiburg	15.62	33.48
North	2001	Freiburg	18.2	36.11
North	2001	Freiburg	18.66	42.74
North	2001	Freiburg	17.22	40.61
North	2002	Munich	19.98	39.7
North	2002	Munich	20.89	37.98
North	2002	Munich	22.97	42.47
North	2002	Munich	17.43	37.27
North	2002	Munich	21.39	43.23
North	2002	Munich	19.84	40.43
North	2002	Munich	20.8	40.34
North	2002	Munich	18.84	39.43
North	2002	Munich	21.22	36.75
North	2002	Munich	17.36	36.84
North	2002	Munich	16.57	32.42
North	2002	Munich	23.22	45.54
North	2002	Munich	16.88	36.65
North	2002	Munich	22.74	43.6
North	2002	Munich	18.48	38.48
North	2002	Munich	18.35	38.83
North	2002	Munich	18.21	36.5
North	2002	Munich	25.13	47.46
North	2002	Munich	23.51	46.55
North	2002	Munich	24.06	44.51
North	2002	Munich	18.46	40.46
North	2002	Freiburg	20.02	35.99
North	2002	Freiburg	19.93	41.95
North	2002	Freiburg	20.74	43.48
North	2002	Freiburg	21.02	43.74
North	2002	Freiburg	20.62	43.52
North	2002	Freiburg	18.09	39.53
North	2002	Freiburg	19.17	38.8
North	2002	Freiburg	23.28	45.83
North	2002	Freiburg	16.73	34.11
North	2002	Freiburg	17.62	39.32
North	2002	Freiburg	18.16	34.64
North	2002	Freiburg	19.12	41.82
North	2002	Freiburg	22.25	43.5
North	2002	Freiburg	20.55	40.73
North	2002	Freiburg	14.63	33
North	2002	Freiburg	21	40.4
North	2002	Freiburg	19.85	39.25
North	2002	Freiburg	19.19	37.07
