Genotype	Region	Loc	Height	Yield
88	Harerge	2	71.494	38.7959
90	Shewa	1	92.4294	34.9171
90	Shewa	2	81.1806	32.5214
95	Gamo	1	84.9328	38.0323
95	Gamo	2	72.3931	37.6287
96	Gamo	1	83.9573	42.7183
96	Gamo	2	72.3931	43.4
97	Arsi	1	93.7959	45.401
97	Arsi	2	87.007	41.7758
98	Gonder	1	99.609	41.1204
98	Gonder	2	87.5779	40.7245
99	Wollo	1	83.8734	37.2795
99	Wollo	2	68.9448	31.9745
107	Gonder	1	98.6335	40.1442
107	Gonder	2	87.5779	40.1376
112	Shewa	1	94.3805	53.0755
112	Shewa	2	81.1806	44.6509
114	Shewa	1	93.4049	37.0649
114	Shewa	2	75.2888	34.2822
117	Shewa	1	94.3001	54.0517
117	Shewa	2	92.645	60.6327
119	Gamo	1	89.73	55.2144
119	Gamo	2	78.9477	49.9912
121	Arsi	1	82.0093	52.0395
121	Arsi	2	67.0485	43.4762
122	Gonder	1	93.6755	48.1494
122	Gonder	2	78.421	35.0885
127	Wollo	1	81.8419	40.794
127	Wollo	2	77.4634	40.0331
131	Gamo	1	86.8034	42.5231
131	Gamo	2	71.092	39.7203
133	Shewa	1	95.2756	50.5372
133	Shewa	2	85.7712	51.7312
139	Gamo	1	85.8279	34.9083
139	Gamo	2	75.0198	29.7429
140	Gonder	1	99.5286	40.7299
140	Gonder	2	95.1144	42.0336
146	Wollo	1	101.35	47.823
146	Wollo	2	88.265	49.8149
147	Wollo	1	83.793	41.7703
147	Wollo	2	68.6257	33.088
152	Arsi	1	90.789	41.4959
152	Arsi	2	81.778	35.0638
154	Arsi	1	80.0582	35.0527
154	Arsi	2	66.0665	34.6726
164	Gojjam	1	102.77	53.2542
164	Gojjam	2	97.5016	56.9858
168	Gonder	1	80.0182	38.3869
168	Gonder	2	64.6735	27.1652
180	Gamo	1	84.9047	48.3806
180	Gamo	2	70.6686	40.8901
189	Bale	1	98.801	47.3635
189	Bale	2	90.0654	49.3
190	Gamo	1	83.9292	32.9558
190	Gamo	2	71.6506	35.1188
193	Arsi	1	94.7434	45.9867
193	Arsi	2	81.3546	44.059
195	Gamo	1	92.7089	40.5706
195	Gamo	2	79.5063	32.6734
202	Shewa	1	88.4993	40.9699
202	Shewa	2	80.438	35.685
205	Gojjam	1	96.9644	35.2911
205	Gojjam	2	88.2405	41.4286
207	Arsi	1	79.1351	33.8812
207	Arsi	2	65.6432	24.2998
210	Gamo	1	79.0516	41.3516
210	Gamo	2	68.7047	42.3573
213	Wollo	1	81.8943	42.7465
213	Wollo	2	72.1302	41.6919
218	Sidamo	1	83.6241	35.2019
218	Sidamo	2	71.1987	27.8562
219	Bale	1	84.1681	45.411
219	Bale	2	72.39	38.7356
222	Gonder	1	96.6544	54.007
222	Gonder	2	94.6911	51.7135
227	Wollo	1	84.8209	41.4774
227	Wollo	2	76.0581	35.725
228	Gamo	1	81.9782	43.4993
228	Gamo	2	70.6686	46.4657
229	Tigray	1	91.1933	45.6347
229	Tigray	2	86.5237	48.4026
230	Gojjam	1	88.1847	43.1011
230	Gojjam	2	76.4569	40.7439
14	Shewa	1	88.1532	30.8169
14	Shewa	2	81.6896	36.1586
17	Shewa	1	89.1287	33.5504
17	Shewa	2	74.8158	30.3874
24	Wollo	1	83.4992	40.9893
24	Wollo	2	70.4358	37.8615
28	Shewa	1	91.0797	37.0649
28	Shewa	2	80.7076	37.5281
35	Wollo	1	86.4258	40.5988
35	Wollo	2	70.4358	39.0354
43	Wollo	1	84.4748	43.3323
43	Wollo	2	76.3276	37.5681
62	Gamo	1	90.7859	63.2197
62	Gamo	2	79.2669	49.4647
109	Shewa	1	93.4049	52.8802
109	Shewa	2	75.2888	50.1287
120	Wollo	1	82.8175	40.794
120	Wollo	2	67.6437	34.5553
132	Arsi	1	89.8135	44.0342
132	Arsi	2	87.6698	44.1609
143	Shewa	1	86.4959	42.5319
143	Shewa	2	78.8974	36.3738
145	Wollo	1	82.8175	36.3032
145	Wollo	2	68.6257	33.7727
148	Wollo	1	79.8909	38.2557
148	Wollo	2	67.6437	37.6854
155	Wollo	1	82.8175	35.9127
155	Wollo	2	68.6257	32.7945
172	Gojjam	1	100.81	42.7106
172	Gojjam	2	88.6639	45.2476
183	Shewa	1	83.6217	41.3604
183	Shewa	2	65.7085	36.9566
194	Arsi	1	94.7434	46.7677
194	Arsi	2	83.3186	46.1132
217	Wollo	1	86.7719	40.2083
217	Wollo	2	69.1843	35.0403
221	Gonder	1	92.7523	43.6587
221	Gonder	2	77.0157	43.6924			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
