Gid	ARK	Fad	Abr
NSFTV_206	101.4166667	78	113
NSFTV_207	100	84	137
NSFTV_208	112.9	77	130
NSFTV_209	84.5	77	82
NSFTV_21	98.75	73	101
NSFTV_211	70.08333333	66	107
NSFTV_212	89.25	78	99
NSFTV_213	82.5	70	92
NSFTV_214	98.58333333	80	125
NSFTV_215	103.0833333	73	116
NSFTV_216	109.0833333	71.27119	217
NSFTV_217	79.5	70	100
NSFTV_218	85.83333333	78	141
NSFTV_219	56.25	52	49
NSFTV_22	101.6666667	73	100
NSFTV_220	62.83333333	65	59
NSFTV_221	72.66666667	60	80
NSFTV_222	79.75	65	73
NSFTV_223	86.08333333	80	76
NSFTV_224	89.75	65	78
NSFTV_225	77.25	64	80
NSFTV_226	78.75	67	92
NSFTV_227	107.1666667	72.46154	127
NSFTV_228	77.91666667	77	79
NSFTV_229	56.5	50	54
NSFTV_23	103.4444444	82	124
NSFTV_231	65.5	54	68
NSFTV_232	66.66666667	58	68
NSFTV_233	69.58333333	66	68
NSFTV_234	75.25	61	76
NSFTV_235	82.91666667	67	76
NSFTV_236	82.08333333	76	92
NSFTV_237	75.58333333	66	76
NSFTV_239	78.5	76	85
NSFTV_24	90.91666667	76	114
NSFTV_240	77.33333333	77	87
NSFTV_241	92.25	77	100
NSFTV_242	81.75	52	48
NSFTV_243	61.75	76	80
NSFTV_244	106.4166667	80	117
NSFTV_245	78.91666667	76	80
NSFTV_246	94.75	64	73
NSFTV_247	74.91666667	65	80
NSFTV_248	77.5	66	54
NSFTV_249	74.33333333	62	59
NSFTV_25	92.18181818	75	108
NSFTV_250	57.75	53	59
NSFTV_251	87.75	79	104
NSFTV_252	75.75	78	90
NSFTV_253	82.66666667	78	100
NSFTV_254	78.16666667	68	73
NSFTV_255	95.91666667	68	76
NSFTV_256	62.75	55	54
NSFTV_257	66.83333333	60	68
NSFTV_258	102.5	75	100
NSFTV_259	103.4166667	77	100
NSFTV_26	92.33333333	76	117
NSFTV_260	89.41666667	69.42857	116
NSFTV_261	79.75	67	92
NSFTV_262	103.4166667	78	107
NSFTV_263	73.25	65	76
NSFTV_264	78	66	85
NSFTV_265	77.91666667	78	92
NSFTV_266	70.75	72	76
NSFTV_267	77.16666667	66	87
NSFTV_268	60.4	65	59
NSFTV_269	105.8333333	73.58621	100
NSFTV_27	89.75	78	100
NSFTV_270	73.75	66	85
NSFTV_271	78.66666667	63	100
NSFTV_272	108.0833333	62	107
NSFTV_273	82.16666667	78	113
NSFTV_274	106	74	100
NSFTV_275	77.66666667	65	76
NSFTV_276	80.25	78	92
NSFTV_277	82.33333333	67	138
NSFTV_278	82	69.42857	95
NSFTV_279	57.25	57	45
NSFTV_280	84.08333333	79	100
NSFTV_281	85.33333333	70	93
NSFTV_282	80.91666667	78	113
NSFTV_283	77.58333333	74	80
NSFTV_284	81	77	85
NSFTV_285	79.5	67	52
NSFTV_286	86	77	100
NSFTV_287	54.5	56	54
NSFTV_288	58	54	48
NSFTV_289	63	56	61
NSFTV_29	90.5	73.58621	187
NSFTV_290	74.75	65	80
NSFTV_291	67.08333333	61	68
NSFTV_292	67.83333333	71.27119	98.70056
NSFTV_293	104.75	70	107
NSFTV_294	85.66666667	79	96
NSFTV_295	78.75	76	80
NSFTV_296	79.75	67	113
NSFTV_297	82.83333333	67	137
NSFTV_298	105	78	100
NSFTV_299	70.33333333	58	70
NSFTV_3	89.5	66	83
NSFTV_30	104	65	164
NSFTV_300	76.25	67	73
NSFTV_301	75.58333333	60	68
NSFTV_302	79.25	71.27119	68
NSFTV_303	81.75	67	130
NSFTV_304	101.0833333	67	87
NSFTV_305	76.08333333	67	113
NSFTV_306	59.5	63	59
NSFTV_307	78	66	76
NSFTV_308	90.91666667	75	113
NSFTV_309	103	79	113
NSFTV_31	89	71.27119	239
NSFTV_310	84.41666667	71.27119	113
NSFTV_311	80.5	77	113
NSFTV_312	99.5	78	87
NSFTV_313	86.5	76	92
NSFTV_314	81.16666667	77	97
NSFTV_315	98.41666667	71	87
NSFTV_316	83.41666667	77	76
NSFTV_317	90.75	58	80
NSFTV_318	96.16666667	75	102
NSFTV_319	100.75	76	97
NSFTV_32	92.66666667	71.27119	184
NSFTV_320	97.25	69	87
NSFTV_321	81.75	78	92
NSFTV_322	98.75	72.46154	92
NSFTV_323	103.1666667	78	92
NSFTV_324	84	72.46154	92
NSFTV_325	78.75	73.58621	92
NSFTV_326	84.25	72.46154	94
NSFTV_327	90	57	71
NSFTV_328	93.5	65	89
NSFTV_329	96	65	84
NSFTV_33	82.25	63	81
NSFTV_330	100	68	84
NSFTV_331	95.5	80	80
NSFTV_332	100.6666667	68	107
NSFTV_333	62.58333333	39	52
NSFTV_334	76.58333333	69	80
NSFTV_335	81.5	78	80
NSFTV_336	98.25	66	92
NSFTV_337	81	70	80
NSFTV_338	79.66666667	71	117
NSFTV_339	86	80	73
NSFTV_34	97	73.58621	96.48077
NSFTV_340	88.16666667	77	100
NSFTV_341	86.75	77	100
NSFTV_342	90.25	79	107
NSFTV_343	75.66666667	70	80
NSFTV_344	80	71	92
NSFTV_345	91.75	66	80
NSFTV_346	84.83333333	77	98
NSFTV_347	93.25	78	107
NSFTV_348	73	57	68
NSFTV_349	93.75	77	92
NSFTV_35	92.22696	73.58621	164
NSFTV_350	63.5	80	73
NSFTV_352	83.92355	71.27119	98.70056
NSFTV_353	87.75	62	90.48077
NSFTV_355	75.91666667	69	80
NSFTV_356	87	68	80
NSFTV_357	99.75	101	87
NSFTV_358	93.58333333	71.27119	135
NSFTV_359	82.41666667	76	92
NSFTV_36	92.41666667	71.27119	199
NSFTV_360	98.41666667	74	87
NSFTV_361	98.25	67	111
NSFTV_363	88	71.27119	120
NSFTV_364	78.75	71.27119	86
NSFTV_365	73	66	77
NSFTV_366	100.75	71.27119	180
NSFTV_367	75.75	71.27119	188
NSFTV_368	79	71.27119	204
NSFTV_369	75.75	76	79
NSFTV_37	85.83333333	71.27119	94
NSFTV_370	84.33333333	78	91
NSFTV_371	83	76	99
NSFTV_372	85.5	74	99
NSFTV_373	88.75	69.42857	102
NSFTV_375	83.92355	71.27119	98.70056
NSFTV_376	79.5	67	86
NSFTV_377	89.08333333	78	109
NSFTV_378	106.6	68	79
NSFTV_379	91.66666667	71.27119	98.70056
NSFTV_380	92.75	71.27119	187
NSFTV_381	90.83333333	81	106
NSFTV_384	90.16666667	67	106
NSFTV_385	83.75	62	75
NSFTV_386	82.66666667	77	104
NSFTV_387	78.33333333	65	106
NSFTV_388	90.81818182	71.27119	187
NSFTV_389	106.75	79	165
NSFTV_39	95.16666667	76	108
NSFTV_390	91.25	69.42857	99
NSFTV_391	86.08333333	78	112
NSFTV_392	89.41666667	74	112
NSFTV_394	86	78	105
NSFTV_395	90.58333333	65	106
NSFTV_396	84.66666667	77	99
NSFTV_397	88.25	79	86
NSFTV_398	98.5	73.58621	96.48077
NSFTV_399	78.91666667	71.27119	98.70056
NSFTV_4	94.5	67	93
NSFTV_40	95.66666667	46	133
NSFTV_400	93.75	73.58621	96.48077
NSFTV_41	83.92355	63	158
NSFTV_43	92.25	71	99
NSFTV_44	81.83333333	64	93
NSFTV_45	81.75	65	94
NSFTV_46	95.58333333	76	122
NSFTV_49	96	72.46154	90
NSFTV_5	87.5	70	108
NSFTV_50	95.25	64	77
NSFTV_51	102.6	77	175
NSFTV_52	83.92355	71.27119	98.70056
NSFTV_53	91	78	100
NSFTV_54	108.8333333	82	149
NSFTV_55	74.91666667	66	84
NSFTV_56	74.125	66	76
NSFTV_57	89.83333333	76	88
NSFTV_58	91.25	77	101
NSFTV_59	82.16666667	70	96
NSFTV_6	89.08333333	73	101
NSFTV_60	82.33333333	68	88
NSFTV_61	89.25	75	93
NSFTV_616	81	73.58621	96.48077
NSFTV_618	78.5	71.27119	98.70056
NSFTV_619	78	71.27119	98.70056
NSFTV_62	83.92355	71.27119	98.70056
NSFTV_620	91.5	73.58621	96.48077
NSFTV_621	85.5	71.27119	98.70056
NSFTV_622	83.5	71.27119	98.70056
NSFTV_623	90	73.58621	96.48077
NSFTV_624	86.5	71.27119	98.70056
NSFTV_625	85.5	71.27119	98.70056
NSFTV_626	90.5	73.58621	96.48077
NSFTV_627	62	71.27119	98.70056
NSFTV_628	81.5	71.27119	98.70056
NSFTV_629	72.5	71.27119	98.70056
NSFTV_63	83.92355	71.27119	98.70056
NSFTV_630	84.5	69.42857	108.64286
NSFTV_632	81.5	71.27119	98.70056
NSFTV_633	94.5	73.58621	96.48077
NSFTV_634	89	73.58621	96.48077
NSFTV_635	83.92355	71.27119	98.70056
NSFTV_636	92.22696	73.58621	96.48077
NSFTV_637	91.06603	72.46154	90.48077
NSFTV_638	83.92355	71.27119	98.70056
NSFTV_639	83.92355	71.27119	98.70056
NSFTV_64	83.92355	71.27119	98.70056
NSFTV_640	89.92177	69.42857	108.64286
NSFTV_641	83.92355	71.27119	98.70056
NSFTV_642	92.22696	73.58621	96.48077
NSFTV_643	92.22696	73.58621	96.48077
NSFTV_644	92.22696	73.58621	96.48077
NSFTV_645	83.92355	71.27119	98.70056
NSFTV_647	83.92355	71.27119	98.70056
NSFTV_648	92.22696	73.58621	96.48077
NSFTV_65	100.75	80	114
NSFTV_651	91.06603	72.46154	90.48077
NSFTV_652	83.92355	71.27119	98.70056
NSFTV_66	92.22696	73.58621	190
NSFTV_67	114.6666667	71.27119	222
NSFTV_68	98.08333333	74	114
NSFTV_69	93.25	76	85
NSFTV_7	105	71.27119	158
NSFTV_70	90.5	77	108
NSFTV_71	100.75	79	106
NSFTV_72	108.1666667	73	133
NSFTV_73	91.41666667	78	106
NSFTV_74	99.33333333	78	85
NSFTV_75	87.66666667	69.42857	114
NSFTV_76	110.1666667	73.58621	131
NSFTV_77	125	73.58621	182
NSFTV_78	98.83333333	73	86
NSFTV_79	76.25	77	88
NSFTV_8	101.5833333	74	122
NSFTV_80	110.5714286	72	136
NSFTV_81	83.25	77	92
NSFTV_83	79	67	79
NSFTV_84	89.16666667	110	101
NSFTV_85	100.75	78	90
NSFTV_86	83.92355	71.27119	98.70056
NSFTV_87	101.25	73	99
NSFTV_88	91.88888889	78	96
NSFTV_89	90.91666667	78	114
NSFTV_9	73	75	81
NSFTV_90	82.58333333	67	81
NSFTV_91	83.92355	71.27119	98.70056
NSFTV_92	91.6	78	98
NSFTV_93	88.25	72	88
NSFTV_94	83.91666667	74	161
NSFTV_96	104.3	84	165
NSFTV_97	98.375	78	108
NSFTV_98	83.83333333	79	90
NSFTV_99	90.16666667	80	108

